,Source,Date,Tweets Ago,Text,Compound,Positive,Neutral,Negative
32,BBCWorld,Mon Jan 15 06:24:54 +0000 2018,33,RT @BBCBreaking: Images from central Jakarta after reported ceiling collapse in lobby of Indonesian stock exchange: https://t.co/47bbW9fFKU…,-0.4767,0.057,0.777,0.166
33,BBCWorld,Mon Jan 15 06:21:50 +0000 2018,34,Baghdad suicide double suicide attack kills many https://t.co/xxtWEg9DYw,-0.9485,0.0,0.204,0.796
34,BBCWorld,Mon Jan 15 06:18:49 +0000 2018,35,Jakarta stock exchange ceiling collapses https://t.co/JFv7P295uF,-0.296,0.0,0.694,0.306
35,BBCWorld,Mon Jan 15 04:45:24 +0000 2018,36,Aziz Ansari responds to assault allegation https://t.co/xNx3hPMii5,-0.5859,0.0,0.612,0.388
36,BBCWorld,Mon Jan 15 03:53:27 +0000 2018,37,RT @BBCIndia: Moshe Holtzberg: The Israeli boy who survived 2008 Mumbai attack https://t.co/6Vsu0jlWjt,0.0516,0.19,0.632,0.178
37,BBCWorld,Mon Jan 15 03:51:45 +0000 2018,38,RT @SallyBundockBBC: Apparently it’s #bluemonday2018 - “the most depressing day of the year”. I brought in cup cakes and banana bread for t…,-0.4391,0.0,0.874,0.126
38,BBCWorld,Mon Jan 15 02:54:22 +0000 2018,39,RT @BBCNewsAsia: North and South Korea begin talks on Pyongyang's plan to send art troupe to Winter Olympics: https://t.co/vYpyhcw1Q4,0.0,0.0,1.0,0.0
39,BBCWorld,Mon Jan 15 02:42:25 +0000 2018,40,North and South Korea discuss sending art troupe to Winter Olympics https://t.co/PRWrX5OPSx,0.0,0.0,1.0,0.0
40,BBCWorld,Mon Jan 15 02:22:36 +0000 2018,41,RT @BBCNewsAsia: The Japanese porn star who taught an entire Chinese generation about sex: https://t.co/wqvRtzka77,0.0,0.0,1.0,0.0
41,BBCWorld,Mon Jan 15 02:11:17 +0000 2018,42,RT @BBCNewsAsia: The alcohol ban on Sri Lankan women has been reinstated by its president: https://t.co/2CQoPadaQ7,-0.5574,0.0,0.806,0.194
42,BBCWorld,Mon Jan 15 01:56:42 +0000 2018,43,"RT @BBCNewsAsia: Oil tanker burning in East China Sea finally sinks. All 32 crew members confirmed dead, officials say: https://t.co/H3PWVJ…",-0.6486,0.0,0.815,0.185
43,BBCWorld,Mon Jan 15 01:52:15 +0000 2018,44,Ashley Judd: I was not frightened of Harvey Weinstein https://t.co/ndRNFCMJ6a,0.3412,0.231,0.769,0.0
44,BBCWorld,Mon Jan 15 01:46:24 +0000 2018,45,"Skies in Perth, Australia, turn dramatic orange after a bushfire: https://t.co/CjngV0xopn",0.0,0.0,1.0,0.0
45,BBCWorld,Mon Jan 15 01:42:25 +0000 2018,46,Donald Trump denies being a racist after 'shithole' row https://t.co/5DCN55NjoA,-0.7783,0.0,0.507,0.493
46,BBCWorld,Mon Jan 15 01:35:38 +0000 2018,47,Perth bushfire paints skies 'vivid orange' https://t.co/WpaopR0e2f,0.0,0.0,1.0,0.0
47,BBCWorld,Mon Jan 15 01:32:28 +0000 2018,48,Chile complains of World Bank unfair treatment https://t.co/jj083Qa8a9,-0.6908,0.0,0.513,0.487
48,BBCWorld,Mon Jan 15 00:57:08 +0000 2018,49,The missing - consequences of Trump's immigration crackdown https://t.co/ToQ0bSwlpW,-0.296,0.0,0.761,0.239
49,BBCWorld,Mon Jan 15 00:50:32 +0000 2018,50,Looking for my brother https://t.co/tOCTbFbYxj,0.0,0.0,1.0,0.0
50,BBCWorld,Mon Jan 15 00:43:56 +0000 2018,51,Chile's female prisoners pin their hopes on Pope's visit https://t.co/xXz4G2rJys,-0.128,0.199,0.567,0.234
51,BBCWorld,Mon Jan 15 00:30:49 +0000 2018,52,Japan's elaborate manhole covers https://t.co/73mTMw2uAm,0.0,0.0,1.0,0.0
52,BBCWorld,Mon Jan 15 00:20:47 +0000 2018,53,Moshe Holtzberg: The Israeli boy who survived 2008 Mumbai attack https://t.co/LHO3VotYrH,0.0516,0.214,0.584,0.201
53,BBCWorld,Mon Jan 15 00:10:59 +0000 2018,54,Sora Aoi: Japan's porn star who taught a Chinese generation about sex https://t.co/1SEteyUaGe,0.0,0.0,1.0,0.0
54,BBCWorld,Sun Jan 14 22:27:12 +0000 2018,55,"Police use tear gas on protesters in Tunisia, reports say https://t.co/qk35oecFhE",-0.2263,0.0,0.84,0.16
55,BBCWorld,Sun Jan 14 22:00:46 +0000 2018,56,"California mudslide toll rises to 20, as search continues https://t.co/BXMtfFizp9",0.0,0.0,1.0,0.0
56,BBCWorld,Sun Jan 14 21:45:13 +0000 2018,57,Jerusalem embassy: Abbas says Trump plan 'slap of the century' https://t.co/wbKLfQeB7c,0.1531,0.138,0.862,0.0
57,BBCWorld,Sun Jan 14 18:48:15 +0000 2018,58,Hawaii told to fix its alert system after false missile alarm https://t.co/roxDjW56Rf,-0.0516,0.151,0.685,0.164
58,BBCWorld,Sun Jan 14 18:34:54 +0000 2018,59,How to survive a missile attack: What's the official advice? https://t.co/5Bb0JNLyp5,-0.4767,0.0,0.744,0.256
59,BBCWorld,Sun Jan 14 18:24:36 +0000 2018,60,Qatari royal says he is 'being held against his will' in UAE https://t.co/PDR7RazNDp,0.0,0.0,1.0,0.0
60,BBCWorld,Sun Jan 14 16:28:30 +0000 2018,61,"RT @BBCSteveR: Tonight Russian TV news had reports on:
Putin's election campaign
Putin visits tram factory
Putin visits monastery
Putin com…",0.0,0.0,1.0,0.0
61,BBCWorld,Sun Jan 14 16:12:13 +0000 2018,62,Saudi female football fan: 'We wanted to enter the stadiums and we did' https://t.co/pdrbl4wBAr,0.3182,0.15,0.85,0.0
62,BBCWorld,Sun Jan 14 15:55:03 +0000 2018,63,"In a post-Harvey Weinstein and #MeToo world, most people are well aware sexual harassment occurs in the workplace.… https://t.co/ouQlm4LL2R",-0.2815,0.108,0.732,0.16
63,BBCWorld,Sun Jan 14 15:40:20 +0000 2018,64,Sri Lanka leader rejects move to allow women to buy alcohol https://t.co/FhG3PaPtGx,-0.3182,0.126,0.662,0.212
64,BBCWorld,Sun Jan 14 14:42:19 +0000 2018,65,Peru: Earthquake leaves two dead and dozens injured https://t.co/Xj6Tr2Dyg0,-0.7906,0.0,0.5,0.5
65,BBCWorld,Sun Jan 14 14:36:46 +0000 2018,66,RT @BBCBreaking: A 7.1 magnitude quake off the south-west coast of Peru kills two people https://t.co/oLae31f3Qh,-0.5423,0.0,0.8,0.2
66,BBCWorld,Sun Jan 14 12:40:43 +0000 2018,67,Ellen Johnson Sirleaf: Liberia's president expelled from her party https://t.co/tpkcS487eV,0.1779,0.213,0.63,0.157
67,BBCWorld,Sun Jan 14 12:18:36 +0000 2018,68,How flowering plants conquered the world https://t.co/JGsbrl2qqz,0.0,0.0,1.0,0.0
68,BBCWorld,Sun Jan 14 11:58:28 +0000 2018,69,RT @marklowen: Bittersweet mood in #Tunisia today: pride in transition to (albeit imperfect) parliamentary democracy but frustration that o…,-0.5574,0.074,0.696,0.23
69,BBCWorld,Sun Jan 14 11:45:35 +0000 2018,70,"RT @marklowen: Crowds in #Tunis marking seventh anniversary of #Tunisia's revolution. Some pro-government protests, some anti-government, c…",-0.2263,0.0,0.894,0.106
70,BBCWorld,Sun Jan 14 11:26:31 +0000 2018,71,Turkey plane: Panic as jet skids off runway at Trabzon https://t.co/bmvMLqVj5W,-0.5106,0.0,0.752,0.248
71,BBCWorld,Sun Jan 14 10:57:37 +0000 2018,72,Plane skids off runway at Trabzon Airport in Turkey https://t.co/xaDDlF8uzf,0.0,0.0,1.0,0.0
72,BBCWorld,Sun Jan 14 10:48:47 +0000 2018,73,Mario Testino and Bruce Weber accused of sexual exploitation https://t.co/UYvB8LKEUP,-0.296,0.0,0.804,0.196
73,BBCWorld,Sun Jan 14 10:09:37 +0000 2018,74,"Hawaii missile false alarm triggers shock, blame and apologies https://t.co/0GMcCPaScf",-0.7506,0.0,0.486,0.514
74,BBCWorld,Sun Jan 14 09:33:28 +0000 2018,75,"RT @BBCBreaking: Burning oil tanker sinks more than a week after collision with cargo ship off China, with 32 lives lost, reports say https…",-0.5859,0.0,0.814,0.186
75,BBCWorld,Sun Jan 14 09:11:21 +0000 2018,76,'I'm a Muslim that voted for Donald Trump' https://t.co/oHCFqTWxYj,0.0,0.0,1.0,0.0
76,BBCWorld,Sun Jan 14 09:05:13 +0000 2018,77,Panmunjom: Truce town in the Koreas https://t.co/SgtXna6UdS,0.0,0.0,1.0,0.0
77,BBCWorld,Sun Jan 14 08:11:59 +0000 2018,78,Papua New Guinea volcano: Islanders flee worsening eruption https://t.co/tP9WOtTeM0,-0.4588,0.0,0.727,0.273
78,BBCWorld,Sun Jan 14 07:45:24 +0000 2018,79,Portugal fire kills eight at leisure centre https://t.co/aRFawOxUTo,-0.7096,0.0,0.504,0.496
79,BBCWorld,Sun Jan 14 07:37:45 +0000 2018,80,Hawaii missile alert: False alarm warning broadcast https://t.co/LgT1aaTbnU,-0.3818,0.183,0.417,0.4
80,BBCWorld,Sun Jan 14 06:15:54 +0000 2018,81,French salmonella baby milk scandal 'affects 83 countries' https://t.co/4S1isl6n5b,-0.4404,0.0,0.734,0.266
81,BBCWorld,Sun Jan 14 05:14:35 +0000 2018,82,Tunisia protests: Government announce reforms after unrest https://t.co/rAV0nihwzi,-0.2263,0.0,0.787,0.213
82,BBCWorld,Sun Jan 14 01:49:00 +0000 2018,83,Cult Mexican horror radio show The Hairy Hand ends https://t.co/QRMNnhHuXO,-0.128,0.215,0.537,0.248
83,BBCWorld,Sun Jan 14 01:02:54 +0000 2018,84,Dealing with debt: The mini-bankers learning how to save https://t.co/jbQJ9mrmZW,0.1779,0.234,0.584,0.182
84,BBCWorld,Sun Jan 14 00:50:11 +0000 2018,85,Steve Bannon: The Trump-whisperer's rapid fall from grace https://t.co/gsH0fetTeV,0.4215,0.259,0.741,0.0
85,BBCWorld,Sun Jan 14 00:46:52 +0000 2018,86,The hotel where you can live like a Farc rebel https://t.co/NqN4QoRsGI,0.2263,0.207,0.661,0.132
86,BBCWorld,Sun Jan 14 00:46:52 +0000 2018,87,Ethiopia's 800-year-old rock churches https://t.co/KWVxFS75Ij,0.0,0.0,1.0,0.0
87,BBCWorld,Sun Jan 14 00:43:33 +0000 2018,88,Recording the lives of those waiting for clean water https://t.co/WeKkWPRsgr,0.4019,0.231,0.769,0.0
88,BBCWorld,Sun Jan 14 00:40:20 +0000 2018,89,Why Pakistan won't share intelligence with the US https://t.co/D0fvHFiX0V,-0.5334,0.0,0.612,0.388
89,BBCWorld,Sun Jan 14 00:37:17 +0000 2018,90,The UK millionaire with Bollywood dreams https://t.co/PcBdabuXb4,0.4019,0.31,0.69,0.0
90,BBCWorld,Sun Jan 14 00:37:15 +0000 2018,91,France's celebrity pushback against 'MeToo' https://t.co/9sLYw0D9tQ,0.0,0.0,1.0,0.0
91,BBCWorld,Sun Jan 14 00:30:40 +0000 2018,92,Chelsea Manning: Ex-army leaker to run for US senate https://t.co/Uj4WcgEHKs,0.0,0.0,1.0,0.0
92,BBCWorld,Sun Jan 14 00:11:57 +0000 2018,93,Colombia's ELN rebels kidnap oil worker https://t.co/MeNhZenT86,-0.2023,0.0,0.769,0.231
93,BBCWorld,Sat Jan 13 23:13:27 +0000 2018,94,Recording of Hawaii ballistic missile waning https://t.co/KdMwHVFwHc,0.0,0.0,1.0,0.0
94,BBCWorld,Sat Jan 13 22:54:00 +0000 2018,95,President Macron: Baguette me not? https://t.co/DWuYziC9Ad,0.0,0.0,1.0,0.0
95,BBCWorld,Sat Jan 13 22:46:51 +0000 2018,96,Mark Wahlberg donates reshoot fee to Time's Up defence fund https://t.co/syCTUVRSbw,0.1027,0.123,0.877,0.0
96,BBCWorld,Sat Jan 13 22:14:00 +0000 2018,97,"A woman's choice - sexual favours or lose her home?

A BBC News investigation reveals that sexual harassment in US… https://t.co/N9nz8TPF2d",-0.5267,0.117,0.625,0.258
97,BBCWorld,Sat Jan 13 19:23:39 +0000 2018,98,Baby Panda Yuan Meng makes debut in France https://t.co/WSBZuFkleO,0.0,0.0,1.0,0.0
98,BBCWorld,Sat Jan 13 18:59:50 +0000 2018,99,H&amp;M stores in South Africa trashed over 'racist' hoodie https://t.co/RT5JUoBUkN,0.0,0.0,1.0,0.0
99,BBCWorld,Sat Jan 13 18:45:45 +0000 2018,100,Hawaii sends out missile alert by mistake https://t.co/7PKwR2mQP0,-0.0516,0.208,0.566,0.226
100,CBSNews,Mon Jan 15 11:32:01 +0000 2018,1,AHEAD on @CBSThisMorning: @DavidBegnaud goes inside the Hawaii command center where the false missile alert was sen… https://t.co/BMicBIqLRu,0.296,0.115,0.885,0.0
101,CBSNews,Mon Jan 15 11:22:01 +0000 2018,2,A northern Michigan woman has been charged with murder in the death of her second infant in five years… https://t.co/0X6O1ROsab,-0.886,0.0,0.606,0.394
102,CBSNews,Mon Jan 15 11:04:32 +0000 2018,3,"Following Saturday's missile alert error, Hawaii's agency in charge of protecting people is now the target of death… https://t.co/6rfn9VWHto",-0.128,0.1,0.776,0.123
103,CBSNews,Mon Jan 15 11:03:06 +0000 2018,4,LAPD investigates sexual assault claim against Steven Seagal https://t.co/uptVlzjwkg https://t.co/B9zaWzMeIN,-0.5859,0.0,0.703,0.297
104,CBSNews,Mon Jan 15 10:48:05 +0000 2018,5,Crews rescue passengers after casino boat catches fire in Florida https://t.co/bNQqQj7PzH https://t.co/jCEXWykWSF,0.2263,0.21,0.637,0.153
105,CBSNews,Mon Jan 15 10:33:05 +0000 2018,6,Mark Wahlberg says he'll donate $1.5 million to Time's Up after outcry https://t.co/10MdC5I21T https://t.co/uFrXm2gpip,-0.5106,0.0,0.798,0.202
106,CBSNews,Mon Jan 15 10:18:08 +0000 2018,7,"Married couple killed as Amtrak train hits SUV in N.C., authorities say https://t.co/YpHQy7ppYX https://t.co/O9H4EtWatI",-0.6705,0.0,0.743,0.257
107,CBSNews,Mon Jan 15 10:03:04 +0000 2018,8,Chelsea Manning files to run for Senate in Maryland https://t.co/XfNh0PH8PF https://t.co/J1VR6QN0Ls,0.0,0.0,1.0,0.0
108,CBSNews,Mon Jan 15 09:48:05 +0000 2018,9,"Jaguars edge out Steelers 45-42, will meet Patriots for AFC title game https://t.co/9b5YNPxdea https://t.co/oCgwwwHu3p",0.0,0.0,1.0,0.0
109,CBSNews,Mon Jan 15 09:33:04 +0000 2018,10,Hawaii missile alert: FCC launches investigation into false ballistic missile warning https://t.co/V9E66qOeD2 https://t.co/L1r3YiDfcz,-0.0516,0.141,0.705,0.154
110,CBSNews,Mon Jan 15 09:18:11 +0000 2018,11,The American scientist who's seen North Korea's nuclear secrets https://t.co/by5G6yOmG3 https://t.co/u1GiXfIsTd,0.0,0.0,1.0,0.0
111,CBSNews,Mon Jan 15 09:03:05 +0000 2018,12,Sharon Stone's second chance https://t.co/mlQ8RMpIgw https://t.co/3BbBOIfFbl,0.25,0.286,0.714,0.0
112,CBSNews,Mon Jan 15 08:48:04 +0000 2018,13,Drawing the lines on gerrymandering https://t.co/GpPBSumc3Q https://t.co/IywMIM818L,0.0,0.0,1.0,0.0
113,CBSNews,Mon Jan 15 08:33:06 +0000 2018,14,"Man files complaint, alleging ex-Gov. Eliot Spitzer threatened him https://t.co/9Gld5sVNuu https://t.co/5govaAz9IH",-0.6369,0.0,0.634,0.366
114,CBSNews,Mon Jan 15 08:18:07 +0000 2018,15,"Oprah Winfrey on ""Time's Up"": Where do we go from here? https://t.co/r53NgRI6wE https://t.co/VK3SPY8bpH",0.0,0.0,1.0,0.0
115,CBSNews,Mon Jan 15 08:03:05 +0000 2018,16,The show-off state https://t.co/mF4JYFdPsY https://t.co/pWg2a8FDac,0.0,0.0,1.0,0.0
116,CBSNews,Mon Jan 15 07:48:05 +0000 2018,17,"Sen. Joe Manchin: No senator would make up ""atrocious"" remark attributed to Trump https://t.co/aBFxX3lYGh https://t.co/AzHm7fn82D",-0.296,0.0,0.864,0.136
117,CBSNews,Mon Jan 15 07:42:12 +0000 2018,18,New details in police chase of Greyhound bus with 40 people on board https://t.co/46tddmE7ox https://t.co/ck0xxnAzwX,0.0,0.0,1.0,0.0
118,CBSNews,Mon Jan 15 07:32:05 +0000 2018,19,"Jakarta Stock Exchange mezzanine collapse causes chaos, injures dozens https://t.co/p13XPSGPrS https://t.co/HA5jBSafcI",-0.7845,0.0,0.566,0.434
119,CBSNews,Mon Jan 15 07:18:09 +0000 2018,20,"Sen. Tom Cotton says Trump's words, sentiments on immigration were misrepresented https://t.co/b47Rfh3Wd5 https://t.co/9m7JomAnUx",0.0,0.0,1.0,0.0
120,CBSNews,Mon Jan 15 11:32:01 +0000 2018,21,AHEAD on @CBSThisMorning: @DavidBegnaud goes inside the Hawaii command center where the false missile alert was sen… https://t.co/BMicBIqLRu,0.296,0.115,0.885,0.0
121,CBSNews,Mon Jan 15 11:22:01 +0000 2018,22,A northern Michigan woman has been charged with murder in the death of her second infant in five years… https://t.co/0X6O1ROsab,-0.886,0.0,0.606,0.394
122,CBSNews,Mon Jan 15 11:04:32 +0000 2018,23,"Following Saturday's missile alert error, Hawaii's agency in charge of protecting people is now the target of death… https://t.co/6rfn9VWHto",-0.128,0.1,0.776,0.123
123,CBSNews,Mon Jan 15 11:03:06 +0000 2018,24,LAPD investigates sexual assault claim against Steven Seagal https://t.co/uptVlzjwkg https://t.co/B9zaWzMeIN,-0.5859,0.0,0.703,0.297
124,CBSNews,Mon Jan 15 10:48:05 +0000 2018,25,Crews rescue passengers after casino boat catches fire in Florida https://t.co/bNQqQj7PzH https://t.co/jCEXWykWSF,0.2263,0.21,0.637,0.153
125,CBSNews,Mon Jan 15 10:33:05 +0000 2018,26,Mark Wahlberg says he'll donate $1.5 million to Time's Up after outcry https://t.co/10MdC5I21T https://t.co/uFrXm2gpip,-0.5106,0.0,0.798,0.202
126,CBSNews,Mon Jan 15 10:18:08 +0000 2018,27,"Married couple killed as Amtrak train hits SUV in N.C., authorities say https://t.co/YpHQy7ppYX https://t.co/O9H4EtWatI",-0.6705,0.0,0.743,0.257
